patch_name,edits_count,full_timings_ms,incremental_timings_ms,same,full_nodes,full_edges,incremental_nodes,incremental_edges,lines_changed,file_size_bytes,commit_hash,file_path
132b86dc_lib_fdpgen__clusteredges.c,0,93,0,2,2285,5007,0,0,0,7185,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/fdpgen//clusteredges.c
132b86dc_plugin_core__gvrender_core_map.c,0,89,0,2,2197,4487,0,0,0,8320,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/core//gvrender_core_map.c
132b86dc_lib_neatogen__delaunay.c,0,258,0,2,7018,14518,0,0,0,21461,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/neatogen//delaunay.c
132b86dc_lib_fdpgen__comp.c,0,44,0,2,1115,2381,0,0,0,4121,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/fdpgen//comp.c
132b86dc_lib_common__ellipse.c,0,97,0,2,2054,4722,0,0,0,9695,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/common//ellipse.c
132b86dc_lib_fdpgen__dbg.c,0,100,0,2,2799,5721,0,0,0,7721,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/fdpgen//dbg.c
132b86dc_lib_gvpr__actions.c,0,234,0,2,6410,13508,0,0,0,19251,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/gvpr//actions.c
132b86dc_lib_neatogen__dijkstra.c,0,118,0,2,2802,6465,0,0,0,8697,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/neatogen//dijkstra.c
132b86dc_plugin_core__gvrender_core_pic.c,0,155,0,2,3449,7154,0,0,0,14692,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/core//gvrender_core_pic.c
132b86dc_lib_fdpgen__fdpinit.c,0,42,0,2,1152,2413,0,0,0,3874,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/fdpgen//fdpinit.c
132b86dc_cmd_smyrna_gui__glcompui.c,0,163,0,2,3346,7332,0,0,0,9461,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/smyrna/gui//glcompui.c
132b86dc_lib_neatogen__edges.c,0,70,0,2,1640,3949,0,0,0,3755,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/neatogen//edges.c
132b86dc_tclpkg_tclpathplan__tclpathplan.c,0,407,0,2,8972,20143,0,0,0,26178,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/tclpathplan//tclpathplan.c
132b86dc_cmd_smyrna_gui__gui.c,0,22,0,2,600,1260,0,0,0,3157,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/smyrna/gui//gui.c
132b86dc_lib_fdpgen__grid.c,0,55,0,2,1467,3116,0,0,0,5893,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/fdpgen//grid.c
132b86dc_lib_neatogen__embed_graph.c,0,23,0,2,706,1545,0,0,0,3042,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/neatogen//embed_graph.c
132b86dc_tclpkg_tclpathplan__wrapper.c,0,41,0,2,847,2048,0,0,0,2511,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/tclpathplan//wrapper.c
